Day,Month,Year,PolygonNum,PointNum,Sub&Att,Subclass,Attributes,SampFormat,Northing,Easting,Altitude
14,Oct,2018,3,9,01ag,01,ag,line,4737142.99,347669.529,0.817
14,Oct,2018,3,10,01ag,01,ag,line,4737140.927,347668.307,0.82
14,Oct,2018,4,11,01a,01,a,1 mu,4737137.883,347667.519,1.026
14,Oct,2018,5,12,06a,06,a,line,4737136.489,347685.489,1.397
14,Oct,2018,5,13,06a,06,a,line,4737142.124,347677.821,1.362
14,Oct,2018,6,14,02a,02,a,line,4737143.087,347676.048,1.318
14,Oct,2018,6,15,02a,02,a,line,4737143.742,347675.104,1.303
14,Oct,2018,7,16,01a,01,a,1 mu,4737144.784,347673.312,1.22
14,Oct,2018,8,17,27bg,27,bg,1 mu,4737145.324,347672.212,1.081
14,Oct,2018,9,18,01bg,01,bg,line,4737145.86,347670.816,0.721
14,Oct,2018,9,19,01bg,01,bg,line,4737146.434,347669.849,0.645
14,Oct,2018,10,20,22r,22,r,line,4737146.83,347669.101,0.391
14,Oct,2018,10,21,22r,22,r,line,4737145.685,347668.437,0.408
14,Oct,2018,11,22,01g,01,g,line,4737147.392,347666.902,-0.118
14,Oct,2018,11,23,01g,01,g,line,4737144.912,347666.442,0.085
14,Oct,2018,11,24,01g,01,g,line,4737141.797,347664.707,0.028
14,Oct,2018,11,25,01g,01,g,line,4737140.83,347666.255,0.732
14,Oct,2018,11,26,01g,01,g,line,4737139.932,347667.192,0.929
14,Oct,2018,12,27,01a,01,a,1 mu,4737139.086,347668.59,1.156
14,Oct,2018,13,28,02a,02,a,1 mu,4737138.305,347670.07,1.212
14,Oct,2018,14,29,01a,01,a,1 mu,4737137.473,347671.346,1.221
14,Oct,2018,15,30,02a,02,a,line,4737136.225,347673.093,1.227
14,Oct,2018,15,31,02a,02,a,line,4737135.76,347673.704,1.244
14,Oct,2018,16,32,06a,06,a,line,4737135.144,347675.323,1.387
14,Oct,2018,16,33,06a,06,a,line,4737133.799,347675.426,1.396
14,Oct,2018,17,34,05a,05,a,line,4737126.39,347677.195,1.398
14,Oct,2018,17,35,05a,05,a,line,4737124.727,347677.697,1.412
14,Oct,2018,18,36,03a,03,a,1 mu,4737123.341,347678.042,1.282
14,Oct,2018,20,47,06a,06,a,1 mu,4737120.446,347677.779,1.394
14,Oct,2018,22,52,06a,06,a,line,4737118.382,347675.723,1.421
14,Oct,2018,22,53,06a,06,a,line,4737113.249,347676.096,1.384
14,Oct,2018,23,54,05a,05,a,1 mu,4737111.97,347676.923,1.402
14,Oct,2018,24,55,03a,03,a,line,4737110.378,347677.311,1.333
14,Oct,2018,24,56,03a,03,a,line,4737105.923,347674.303,1.324
14,Oct,2018,25,57,04a,04,a,line,4737104.774,347675.523,1.379
14,Oct,2018,25,58,04a,04,a,line,4737099.427,347671.634,1.373
14,Oct,2018,26,59,03a,03,a,1 mu,4737100.201,347670.63,1.312
14,Oct,2018,27,60,04a,04,a,line,4737101.275,347669.601,1.37
14,Oct,2018,27,61,04a,04,a,line,4737102.82,347668.168,1.38
14,Oct,2018,28,62,06a,06,a,line,4737104.078,347666.965,1.402
14,Oct,2018,28,63,06a,06,a,line,4737112.322,347659.816,1.396
14,Oct,2018,29,64,01a,01,a,line,4737113.545,347658.677,1.195
14,Oct,2018,29,65,01a,01,a,line,4737113.912,347658.341,1.171
14,Oct,2018,30,66,01ag,01,ag,line,4737114.576,347657.249,1.043
14,Oct,2018,30,67,01ag,01,ag,line,4737115.152,347656.387,0.754
14,Oct,2018,30,68,01ag,01,ag,line,4737113.681,347655.311,0.869
14,Oct,2018,30,69,01ag,01,ag,line,4737113.909,347654.305,0.437
14,Oct,2018,31,70,01a,01,a,1 mu,4737111.83,347654.396,1.037
14,Oct,2018,32,71,01ag,01,ag,1 mu,4737107.637,347650.91,1.03
14,Oct,2018,33,72,02a,02,a,line,4737105.52,347650.344,1.349
14,Oct,2018,33,73,02a,02,a,line,4737100.489,347644.418,1.347
14,Oct,2018,34,74,06a,06,a,line,4737099.211,347644.652,1.363
14,Oct,2018,34,75,06a,06,a,line,4737098.677,347644.656,1.371
14,Oct,2018,35,76,02a,02,a,1 mu,4737097.432,347644.919,1.369
14,Oct,2018,36,77,06a,06,a,line,4737095.769,347645.082,1.367
14,Oct,2018,36,78,06a,06,a,line,4737090.975,347645.814,1.429
14,Oct,2018,37,79,05a,05,a,line,4737089.629,347646.974,1.366
14,Oct,2018,37,80,05a,05,a,line,4737086.313,347649.877,1.399
14,Oct,2018,38,81,03a,03,a,line,4737085.279,347650.818,1.301
14,Oct,2018,38,82,03a,03,a,line,4737083.929,347652.04,1.36
14,Oct,2018,39,83,04a,04,a,line,4737082.998,347652.848,1.386
14,Oct,2018,39,84,04a,04,a,line,4737082.494,347653.416,1.382
14,Oct,2018,40,85,03a,03,a,line,4737081.637,347654.424,1.324
14,Oct,2018,40,86,03a,03,a,line,4737080.679,347655.721,1.356
14,Oct,2018,41,87,04a,04,a,line,4737079.397,347656.987,1.375
14,Oct,2018,41,88,04a,04,a,line,4737077.358,347659.309,1.348
14,Oct,2018,42,89,03a,03,a,1 mu,4737076.45,347660.807,1.274
14,Oct,2018,43,90,02a,02,a,line,4737075.777,347661.861,1.299
14,Oct,2018,43,91,02a,02,a,line,4737072.109,347666.363,1.205
14,Oct,2018,43,92,02a,02,a,line,4737063.774,347659.648,1.253
14,Oct,2018,45,99,06a,06,a,line,4737061.849,347661.304,1.224
14,Oct,2018,45,100,06a,06,a,line,4737059.981,347663.622,1.27
14,Oct,2018,46,101,02a,02,a,line,4737058.992,347665.133,1.2
14,Oct,2018,46,102,02a,02,a,line,4737074.066,347675.2,1.234
14,Oct,2018,46,103,02a,02,a,line,4737073.136,347676.832,1.235
14,Oct,2018,48,110,04a,04,a,line,4737063.473,347672.077,1.206
14,Oct,2018,48,111,04a,04,a,line,4737061.309,347674.92,1.217
14,Oct,2018,49,112,02a,02,a,1 mu,4737060.079,347676.476,1.156
14,Oct,2018,51,119,06a,06,a,line,4737061.635,347680.233,1.176
14,Oct,2018,51,120,06a,06,a,line,4737059.669,347683.269,1.258
14,Oct,2018,51,121,06a,06,a,line,4737051.578,347676.378,1.212
14,Oct,2018,52,122,02a,02,a,line,4737050.128,347675.283,1.218
14,Oct,2018,52,123,02a,02,a,line,4737044.697,347669.955,1.192
14,Oct,2018,52,124,02a,02,a,line,4737042.789,347672.47,1.177
14,Oct,2018,54,131,02a,02,a,1 mu,4737041.519,347673.474,1.169
14,Oct,2018,55,132,06a,06,a,line,4737040.639,347674.676,1.225
14,Oct,2018,55,133,06a,06,a,line,4737100.689,347721.576,1.238
14,Oct,2018,56,134,02a,02,a,line,4737102.361,347722.68,1.2
14,Oct,2018,56,135,02a,02,a,line,4737108.271,347725.893,1.225
14,Oct,2018,57,136,06a,06,a,line,4737109.676,347726.962,1.244
14,Oct,2018,57,137,06a,06,a,line,4737112.035,347728.758,1.194
14,Oct,2018,58,138,02a,02,a,line,4737111.038,347730.349,1.234
14,Oct,2018,58,139,02a,02,a,line,4737108.305,347733.387,1.162
14,Oct,2018,59,140,02a,02,a,line,4737163.598,347691.714,1.392
14,Oct,2018,59,141,02a,02,a,line,4737155.3,347712.345,1.389
14,Oct,2018,60,142,09a,09,a,line,4737154.783,347714.176,1.644
14,Oct,2018,60,143,09a,09,a,line,4737161.463,347718.748,1.563
14,Oct,2018,61,144,06a,06,a,line,4737163.364,347718.366,1.398
14,Oct,2018,61,145,06a,06,a,line,4737168.223,347721.541,1.38
14,Oct,2018,62,146,05a,05,a,line,4737169.929,347722.677,1.385
14,Oct,2018,62,147,05a,05,a,line,4737174.895,347715.658,1.422
14,Oct,2018,63,148,06a,06,a,line,4737176.543,347714.084,1.403
14,Oct,2018,63,149,06a,06,a,line,4737185.404,347706.305,1.362
14,Oct,2018,64,150,13a,13,a,line,4737185.927,347706.334,1.308
14,Oct,2018,64,151,13a,13,a,line,4737188.775,347712.339,1.343
14,Oct,2018,64,152,13a,13,a,line,4737180.393,347695.934,1.294
14,Oct,2018,66,159,13a,13,a,1 mu,4737179.938,347690.49,1.337
14,Oct,2018,67,160,13a,13,a,line,4737185.003,347696.388,1.288
14,Oct,2018,67,161,13a,13,a,line,4737186.136,347700.482,1.302
14,Oct,2018,68,162,06a,06,a,line,4737185.436,347696.584,1.328
14,Oct,2018,68,163,06a,06,a,line,4737185.293,347693.922,1.334
14,Oct,2018,69,164,04a,04,a,1 mu,4737184.785,347692.181,1.245
14,Oct,2018,70,165,03a,03,a,1 mu,4737183.811,347690.927,1.273
14,Oct,2018,71,166,06a,06,a,line,4737182.243,347688.944,1.335
14,Oct,2018,71,167,06a,06,a,line,4737179.765,347684.744,1.337
14,Oct,2018,72,168,06a,06,a,1 mu,4737183.257,347678.165,1.391
14,Oct,2018,73,169,09a,09,a,1 mu,4737184.481,347678.565,1.447
14,Oct,2018,74,170,06a,06,a,1 mu,4737186.631,347679.651,1.428
14,Oct,2018,75,171,09a,09,a,line,4737187.953,347680.36,1.432
14,Oct,2018,75,172,09a,09,a,line,4737189.45,347682.847,1.46
14,Oct,2018,76,173,06a,06,a,1 mu,4737190.132,347683.535,1.471
14,Oct,2018,77,174,09a,09,a,1 mu,4737190.947,347685.043,1.415
14,Oct,2018,78,175,06a,06,a,1 mu,4737191.844,347686.784,1.418
14,Oct,2018,83,199,09a,09,a,line,4737242.154,347700.369,1.234
14,Oct,2018,83,200,09a,09,a,line,4737238.191,347694.054,1.264
14,Oct,2018,84,201,02a,02,a,line,4737237.138,347692.655,1.164
14,Oct,2018,84,202,02a,02,a,line,4737235.009,347690.243,1.274
14,Oct,2018,84,203,02a,02,a,line,4737239.674,347686.831,1.355
14,Oct,2018,85,204,06a,06,a,line,4737239.383,347685.69,1.392
14,Oct,2018,85,205,06a,06,a,line,4737234.439,347678.813,1.415
14,Oct,2018,86,206,09a,09,a,1 mu,4737233.872,347677.513,1.344
14,Oct,2018,87,207,02hg,02,hg,line,4737233.278,347676.372,1.198
14,Oct,2018,87,208,02hg,02,hg,line,4737230.56,347676.286,1.242
14,Oct,2018,88,209,01ag,01,ag,line,4737228.988,347676.201,1.033
14,Oct,2018,88,210,01ag,01,ag,line,4737228.965,347674.575,0.735
14,Oct,2018,88,211,01ag,01,ag,line,4737251.499,347673.892,0.78
14,Oct,2018,89,212,01a,01,a,1 mu,4737251.786,347675.666,1.194
14,Oct,2018,90,213,09a,09,a,1 mu,4737251.542,347676.879,1.311
14,Oct,2018,91,214,06a,06,a,line,4737252.005,347678.509,1.367
14,Oct,2018,91,215,06a,06,a,line,4737252.126,347681.141,1.417
14,Oct,2018,92,216,08a,08,a,line,4737251.685,347682.495,1.408
14,Oct,2018,92,217,08a,08,a,line,4737254.578,347691.752,1.382
14,Oct,2018,93,218,05a,05,a,line,4737255.185,347693.038,1.385
14,Oct,2018,93,219,05a,05,a,line,4737245.651,347701.212,1.288
14,Oct,2018,93,220,05a,05,a,line,4737247.836,347704.142,1.258
14,Oct,2018,93,221,05a,05,a,line,4737265.257,347697.415,1.362
14,Oct,2018,94,222,06a,06,a,line,4737266.637,347697.019,1.361
14,Oct,2018,94,223,06a,06,a,line,4737304.018,347687.398,1.303
14,Oct,2018,95,224,09a,09,a,1 mu,4737304.917,347688.27,1.264
14,Oct,2018,96,225,06a,06,a,1 mu,4737359.92,347406.352,1.267
14,Oct,2018,97,226,01b,01,b,line,4737358.784,347407.516,1.284
14,Oct,2018,97,227,01b,01,b,line,4737350.842,347414.221,1.321
14,Oct,2018,98,228,06a,06,a,line,4737349.454,347416.23,1.268
14,Oct,2018,98,229,06a,06,a,line,4737353.639,347418.094,1.293
14,Oct,2018,98,240,06a,06,a,line,4737349.793,347422.96,1.278
14,Oct,2018,98,241,06a,06,a,line,4737328.004,347413.592,1.356
14,Oct,2018,99,242,22r,22,r,1 mu,4737327.244,347413.119,1.218
14,Oct,2018,100,243,01g,01,g,line,4737324.79,347411.482,0.216
14,Oct,2018,100,244,01g,01,g,line,4737322.688,347420.145,0.241
14,Oct,2018,101,245,22r,22,r,1 mu,4737324.155,347420.823,1.185
14,Oct,2018,102,246,06a,06,a,1 mu,4737324.875,347421.186,1.281
14,Oct,2018,103,247,06a,06,a,line,4737334.723,347425.944,1.303
14,Oct,2018,103,248,06a,06,a,line,4737332.364,347430.639,1.34
14,Oct,2018,104,249,06b,06,b,line,4737331.576,347431.708,1.329
14,Oct,2018,104,250,06b,06,b,line,4737338.564,347435.322,1.336
14,Oct,2018,105,251,26jn,26,jn,line,4737338.068,347436.787,1.266
14,Oct,2018,105,252,26jn,26,jn,line,4737333.757,347436.886,1.294
14,Oct,2018,106,253,02b,02,b,line,4737332.44,347437.254,1.306
14,Oct,2018,106,254,02b,02,b,line,4737328.964,347441.643,1.322
14,Oct,2018,107,255,06a,06,a,line,4737328.042,347443.005,1.288
14,Oct,2018,107,256,06a,06,a,line,4737315.459,347463.514,1.319
14,Oct,2018,108,257,26jn,26,jn,line,4737314.603,347464.7,1.255
14,Oct,2018,108,258,26jn,26,jn,line,4737312.878,347464.689,1.17
14,Oct,2018,109,259,06a,06,a,line,4737311.637,347465.147,1.328
14,Oct,2018,109,260,06a,06,a,line,4737294.862,347484.955,1.307
14,Oct,2018,110,261,26jn,26,jn,line,4737294.281,347486.088,1.186
14,Oct,2018,110,262,26jn,26,jn,line,4737296.397,347487.822,1.184
14,Oct,2018,111,263,06a,06,a,line,4737297.863,347488.943,1.285
14,Oct,2018,111,264,06a,06,a,line,4737295.761,347491.523,1.334
14,Oct,2018,111,265,06a,06,a,line,4737278.072,347476.961,1.272
14,Oct,2018,112,266,01ag,01,ag,line,4737276.772,347475.944,0.754
14,Oct,2018,112,267,01ag,01,ag,line,4737258.094,347496.451,1.055
14,Oct,2018,113,268,01b,01,b,1 mu,4737258.694,347496.923,0.976
14,Oct,2018,114,269,22r,22,r,1 mu,4737259.519,347497.684,1.162
14,Oct,2018,115,270,02a,02,a,1 mu,4737260.238,347498.341,1.233
14,Oct,2018,116,271,06a,06,a,line,4737261.136,347499.495,1.279
14,Oct,2018,116,272,06a,06,a,line,4737273.847,347512.667,1.351
14,Oct,2018,117,273,01b,01,b,line,4737275.034,347513.648,1.247
14,Oct,2018,117,274,01b,01,b,line,4737277.654,347515.248,1.326
14,Oct,2018,118,275,25jn,25,jn,1 mu,4737278.625,347516.102,1.338
14,Oct,2018,119,276,06a,06,a,1 mu,4737193.857,347617.351,1.388
14,Oct,2018,120,277,10a,10,a,line,4737193.791,347619.262,1.38
14,Oct,2018,120,278,10a,10,a,line,4737194.127,347621.799,1.387
14,Oct,2018,121,279,06b,06,b,line,4737194.083,347623.06,1.416
14,Oct,2018,122,280,10a,10,a,line,4737194.047,347624.481,1.413
14,Oct,2018,122,281,10a,10,a,line,4737194.098,347625.527,1.393
14,Oct,2018,122,282,10a,10,a,line,4737194.062,347625.51,1.379
14,Oct,2018,123,283,06a,06,a,1 mu,4737194.281,347627.24,1.417
14,Oct,2018,124,284,10a,10,a,line,4737187.048,347634.512,1.424
14,Oct,2018,124,285,10a,10,a,line,4737185.213,347635.917,1.343
14,Oct,2018,125,286,02a,02,a,1 mu,4737183.491,347637.158,1.402
14,Oct,2018,126,287,06a,06,a,line,4737182.422,347638.058,1.428
14,Oct,2018,126,288,06a,06,a,line,4737144.52,347634.267,1.311
14,Oct,2018,127,289,02a,02,a,1 mu,4737142.831,347634.704,1.28
14,Oct,2018,128,290,01a,01,a,line,4737142.13,347636.446,1.171
14,Oct,2018,128,291,01a,01,a,line,4737140.369,347637.266,1.163
14,Oct,2018,129,292,01ag,01,ag,line,4737138.759,347638.192,0.778
14,Oct,2018,129,293,01ag,01,ag,line,4737136.2,347638.354,0.889
14,Oct,2018,135,305,01ag,01,ag,1 mu,4737252.134,347651.159,0.796
14,Oct,2018,136,306,02a,02,a,line,4737252.474,347650.145,1.216
14,Oct,2018,136,307,02a,02,a,line,4737254.178,347650.428,1.201
14,Oct,2018,136,308,02a,02,a,line,4737254.478,347648.67,1.138
14,Oct,2018,137,309,04a,04,a,line,4737254.716,347647.275,1.334
14,Oct,2018,137,310,04a,04,a,line,4737255.523,347643.323,1.394
14,Oct,2018,138,311,06a,06,a,1 mu,4737256.763,347641.395,1.423
14,Oct,2018,139,312,06a,06,a,1 mu,4737278.301,347618.85,1.487
14,Oct,2018,140,313,03a,03,a,line,4737279.762,347617.463,1.42
14,Oct,2018,140,314,03a,03,a,line,4737274.2,347606.027,1.426
14,Oct,2018,141,315,04a,04,a,line,4737272.981,347604.744,1.474
14,Oct,2018,142,316,03a,03,a,line,4737274.821,347603.942,1.428
14,Oct,2018,142,317,03a,03,a,line,4737278.661,347600.14,1.414
14,Oct,2018,143,318,04a,04,a,line,4737279.298,347598.878,1.439
14,Oct,2018,143,319,04a,04,a,line,4737282.89,347601.024,1.456
14,Oct,2018,144,320,03a,03,a,line,4737284.183,347599.892,1.392
14,Oct,2018,144,321,03a,03,a,line,4737297.08,347577.445,1.384
14,Oct,2018,145,322,04a,04,a,1 mu,4737298.275,347576.077,1.44